,,127,Edgar Martinez,Seattle Mariners
,,128,Dick Allen,Chicago White Sox
,,129,Willie McCovey,San Francisco Giants
,,130,Willy Adames,Milwaukee Brewers
,,131,Kyle Schwarber,Philadelphia Phillies
,,132,Max Scherzer,New York Mets
,,133,Barry Larkin,Cincinnati Reds
,,134,Brandon Lowe,Tampa Bay Rays
,,135,Austin Riley,Atlanta Braves
,,136,Dave Winfield,Minnesota Twins
,,137,Paul Molitor,Toronto Blue Jays
,,138,Tony Gwynn,San Diego Padres
,,139,Brooks Robinson,Baltimore Orioles
,,140,Joe Morgan,Cincinnati Reds
,,141,Hideki Matsui,New York Yankees
,,142,Frank Robinson,Cincinnati Reds
,,143,Tim Anderson,Chicago White Sox
,,144,Carl Yastrzemski,Boston Red Sox
,,145,Rod Carew,Minnesota Twins
,,146,Derek Jeter,New York Yankees
,,147,Mike Piazza,New York Mets
,,148,Matt Chapman,Toronto Blue Jays
,,149,Sammy Sosa,Chicago Cubs
,,150,Chipper Jones,Atlanta Braves
,,151,Jared Walsh,Los Angeles Angels
,,152,Drew Ellis RC,Arizona Diamondbacks
,,153,Starling Marte,New York Mets
,,154,Duke Snider,Brooklyn Dodgers
,,155,German Marquez,Colorado Rockies
,,156,Marcus Stroman,Chicago Cubs
,,157,Emmanuel Rivera RC,Kansas City Royals
,,158,Tony Santillan RC,Cincinnati Reds
,,159,TJ Friedl RC,Cincinnati Reds
,,160,Aaron Nola,Philadelphia Phillies
,,161,Yu Darvish,San Diego Padres
,,162,Seth Beer RC,Arizona Diamondbacks
,,163,Joe Mauer,Minnesota Twins
,,164,DJ LeMahieu,New York Yankees
,,165,Tony Oliva,Minnesota Twins
,,166,J.D. Martinez,Boston Red Sox
,,168,Matt Vierling RC,Philadelphia Phillies
,,169,"Jonathan Taylor
Football Player",Indianapolis Colts
,,170,Joe Ryan RC,Minnesota Twins
,,171,Jack Flaherty,St. Louis Cardinals
,,172,Ernie Clement RC,Cleveland Guardians
,,173,Brandon Marsh RC,Los Angeles Angels
,,174,Aaron Ashby RC,Milwaukee Brewers
,,175,Jack Suwinski RC,Pittsburgh Pirates
,,176,J.J. Matijevic RC,Houston Astros
,,177,Vidal Brujan RC,Tampa Bay Rays
,,178,Cal Raleigh RC,Seattle Mariners
,,179,Josiah Gray RC,Washington Nationals
,,180,Will Smith,Los Angeles Dodgers
,,182,Jonathan India,Cincinnati Reds
,,183,Jesus Luzardo,Miami Marlins
,,184,"Landon Donovan
Soccer Player",USA
,,185,Matt Manning RC,Detroit Tigers
,,186,Alex Verdugo,Boston Red Sox
,,187,Amos Otis,Kansas City Royals
,,188,Ron Santo,Chicago Cubs
,,189,"Rob Riggle
Actor",
,,190,Lorenzo Cain,Milwaukee Brewers
,,191,Luis Gil RC,New York Yankees
,,192,Bill Mazeroski,Pittsburgh Pirates
,,193,Robbie Ray,Seattle Mariners
,,194,"Rad Lopez
Fitness Instructor",
,,195,Gavin Sheets RC,Chicago White Sox
,,196,Josh Lowe RC,Tampa Bay Rays
,,197,Colton Welker RC,Colorado Rockies
,,198,Marcus Semien,Texas Rangers
,,199,Ryan Mountcastle,Baltimore Orioles
,,200,Paul Konerko,Chicago White Sox
,,201,"Blake Jamieson
Artist",
,,202,"Morgan Murphy
Comedian",
,,203,Bobby Witt Jr. RC,Kansas City Royals
,,204,Kyle Tucker,Houston Astros
,,205,Adam Wainwright,St. Louis Cardinals
,,206,"Benny Horowitz
Drummer",
,,207,"Kendall Toole
Fitness Instructor",
